what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.epp.usagedata.gathering,1.3.1.R201102081640,"org.eclipse.epp.usagedata.gathering",1367082787814
started,bundle,org.eclipse.epp.usagedata.recording,1.3.1.R201102081640,"org.eclipse.epp.usagedata.recording",1367082787814
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,"org.eclipse.equinox.p2.core",1367082787815
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,"org.eclipse.equinox.p2.directorywatcher",1367082787815
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,"org.eclipse.equinox.p2.engine",1367082787816
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,"org.eclipse.equinox.p2.metadata",1367082787817
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,"org.eclipse.equinox.p2.reconciler.dropins",1367082787817
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,"org.eclipse.equinox.p2.repository",1367082787818
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,"org.eclipse.jface",1367082787818
started,bundle,org.eclipse.ltk.core.refactoring,3.5.101.r362_v20101117-0800,"org.eclipse.ltk.core.refactoring",1367082787819
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.bugzilla.ui",1367082787819
started,bundle,org.eclipse.mylyn.context.ui,3.4.2.v20110131-0100-e3x,"org.eclipse.mylyn.context.ui",1367082787820
started,bundle,org.eclipse.mylyn.monitor.ui,3.4.1.v20110131-0100-e3x,"org.eclipse.mylyn.monitor.ui",1367082787820
started,bundle,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui",1367082787821
started,bundle,org.eclipse.mylyn.team.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.team.ui",1367082787822
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,"org.eclipse.team.core",1367082787822
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,"org.eclipse.team.cvs.core",1367082787823
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,"org.eclipse.team.cvs.ui",1367082787823
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,"org.eclipse.team.ui",1367082787825
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui",1367082787827
started,bundle,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.ide",1367082787828
started,bundle,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.resources",1367082787828
started,bundle,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views",1367082787829
started,bundle,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"org.eclipse.ui.workbench",1367082787829
started,bundle,org.eclipse.egit.core,0.11.1,"org.eclipse.egit.core",1367082787830
started,bundle,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui",1367082787831
started,bundle,org.eclipse.jgit,0.11.1,"org.eclipse.jgit",1367082787831
os,sysinfo,,,"linux",1367082787836
arch,sysinfo,,,"x86_64",1367082787836
ws,sysinfo,,,"gtk",1367082787836
locale,sysinfo,,,"en_US",1367082787836
processors,sysinfo,,,"8",1367082787836
java.runtime.name,sysinfo,,,"OpenJDK Runtime Environment",1367082787836
java.runtime.version,sysinfo,,,"1.6.0_18-b18",1367082787836
java.specification.name,sysinfo,,,"Java Platform API Specification",1367082787836
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367082787836
java.specification.version,sysinfo,,,"1.6",1367082787836
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1367082787836
java.version,sysinfo,,,"1.6.0_18",1367082787836
java.vm.info,sysinfo,,,"mixed mode",1367082787836
java.vm.name,sysinfo,,,"OpenJDK 64-Bit Server VM",1367082787836
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1367082787836
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1367082787836
java.vm.specification.version,sysinfo,,,"1.0",1367082787836
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1367082787836
java.vm.version,sysinfo,,,"14.0-b16",1367082787836
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1367082789085
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1367082800658
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,"org.eclipse.compare",1367082800698
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,"org.eclipse.debug.core",1367082801666
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,"org.eclipse.debug.ui",1367082801713
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201102110609,"org.eclipse.cdt.debug.core",1367082801760
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201102110609,"org.eclipse.cdt.debug.ui",1367082801768
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367082803545
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367082807916
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1367082808954
executed,command,org.eclipse.egit.ui,0.11.1,"org.eclipse.egit.ui.team.Commit",1367082894155
